sub,gender,integ_experienced,prop_time_off_path,entropy_all,MSD_all,abs_error,gardony_score
59,F,1.411323,0.042621489,0.827707692,0.094826161,50.01907057,0.188982
60,F,1.422277,0.163312248,0.834172741,0.11234718,68.5121444,0.744023809
61,F,1.473476,0.141508525,0.841483285,0.121941225,32.0007866,0.694365
62,M,1.356344,0.26706383,0.876081565,0.11302674,32.33188329,0.694365075
63,F,1.297346,0.140106552,0.879262799,0.098889859,59.63016831,0.640869944
64,M,1.239015,0.171704729,0.925970559,0.108153399,43.84391615,0.298807
66,F,1.38119,0.185748599,0.91460786,0.119344795,38.01169189,0.812843334
67,F,1.368974,0.080334895,0.860464227,0.126832647,21.66969472,0.92582
68,F,1.244152,0.058337385,0.873401094,0.103253492,64.58940371,0.823754471
69,F,1.235442,0.11828348,0.83753419,0.105072357,37.55609481,0.886405
70,F,1.285854,0.317845433,0.865160622,0.080983924,54.22362706,0.731925055
71,M,1.291779,0.123192542,0.948676229,0.105126024,12.33783946,0.896421
72,M,1.410475,0.054400749,0.841883439,0.127484416,48.37861648,0.626783
73,F,1.222504,0.128972868,0.922786878,0.101165919,65.1111386,0.654654
74,F,1.397334,0.188860128,0.915457179,0.105905071,33.67703068,0.916125
75,F,1.331823,0.276196951,0.931359954,0.139719559,38.13278333,0.876275
76,F,1.273792,0.2655521,0.907181226,0.115116075,40.98793485,0.550973
77,M,1.324446,0.020866917,0.846624042,0.099867737,32.98614292,0.744024
78,F,1.29195,0.126702357,0.907306268,0.126827085,36.26634722,0.823754471
79,M,1.332736,0.093973442,0.872903028,0.086451597,76.19443637,0.267261
80,F,1.084504,0.479178234,0.920304056,0.100282931,50.2833202,0.267261
81,F,1.452815,0.149547072,0.881781422,0.114215488,41.73830289,0.866025404
82,M,1.335195,0.086383332,0.849222674,0.107178799,49.83696538,0.755929
83,F,1.306433,0.067610063,0.816127093,0.093110696,60.23599024,0.916125
84,M,1.385399,0.136857056,0.88253658,0.121589657,21.74450052,0.906327
86,M,1.358196,0.056220626,0.893681127,0.136456087,37.64871428,0.267261
88,M,1.370328,0.121759697,0.923147013,0.131957874,19.55786814,0.855653468
89,F,1.271347,0.021399911,0.836545233,0.102121645,50.08827046,0.64087
90,F,1.397273,0.063336221,0.856439067,0.105391737,28.89067649,0.834523
91,F,1.393622,0.116115081,0.837154743,0.089949981,23.15619986,0.377964
92,F,1.350293,0.178754191,0.886907933,0.090074988,46.90045484,0.790569
93,M,1.349062,0.14936066,0.91535815,0.13780876,43.60455484,0.823754
95,F,1.286293,0.115039229,0.937014579,0.091550249,54.45783739,0.855653
96,F,1.167054,0.05259811,0.946440944,0.07479725,66.92157434,0.654654
97,F,1.313522,0.065345474,0.87421547,0.087871777,59.09342085,0.612372
98,M,1.305925,0.12913242,0.885731763,0.1172866,21.41657566,0.935414
99,F,1.282781,0.005065469,0.921088755,0.092016613,49.02806751,0.267261
100,M,1.342974,0.159811194,0.907369345,0.115156257,57.58190239,0.823754
101,F,1.320956,0.230488868,0.932614178,0.107042689,57.26364569,0.517549
102,F,1.278118,0.161088461,0.882910505,0.115095939,39.25032886,0.626783171
103,M,1.454503,0.088172873,0.845953999,0.124446925,17.62940744,0.755929
104,F,1.291891,0.066507861,0.911009379,0.122929643,60.35067889,0.298807
105,M,1.299922,0.077884336,0.837140112,0.095209589,53.99554048,0.855653468
106,M,1.208141,0.172734739,0.881810657,0.126728456,47.10143641,0.422577
107,F,1.261197,0.046781994,0.908361605,0.105660333,21.11705858,0.855653
109,F,1.372641,0.097830978,0.91167854,0.095179781,32.28883474,0.582482
110,F,1.409597,0.162909361,0.918141586,0.103676922,44.37059594,0.481812
111,F,1.225968,0.167902393,0.910282596,0.094926885,37.14143815,0.845154
112,M,1.334081,0.083157491,0.879696442,0.100908325,58.30290689,0.801783726
113,F,1.316307,0.351893513,0.908416009,0.111263268,54.59541704,0.731925
114,M,1.2326,0.213560805,0.903606814,0.125509129,61.04664676,0.231455
115,F,1.395262,0.010655391,0.834745618,0.095400746,27.57879958,0.88640526
116,F,1.386589,0.183723106,0.887757658,0.078106616,29.78647379,0.790569
117,M,1.405071,0.177417836,0.871432017,0.129607522,18.51142962,0.876275
118,M,1.37976,0.204512722,0.899141248,0.121668271,30.9813839,0.83452296
119,F,1.330208,0.047780605,0.85649194,0.110002251,35.91383614,0.855653468
120,F,1.152281,0.013022003,0.903675829,0.101842527,59.64206168,0.298807
121,F,1.177599,0.213877784,0.812407005,0.07485336,67.78418734,0.551
122,M,1.302337,0.122397927,0.85768323,0.102090322,66.54731325,0.267261
123,F,1.397938,0.089636381,0.85343965,0.100384179,31.44785344,0.790569
124,F,1.358828,0.118191066,0.854392496,0.10384529,15.82816027,0.896421
125,F,1.228965,0.05498023,0.888820144,0.109180184,58.6491388,0.597614
126,M,1.352814,0.014195281,0.876705732,0.103344044,23.59410529,0.719622917
127,F,1.384533,0.243874965,0.908774207,0.098300268,48.0097316,0.422577
128,F,1.339207,0.117204402,0.900035308,0.110180616,27.52273382,0.866025
129,F,1.394259,0.100937346,0.867621272,0.12766914,27.23753359,0.668153105
130,M,1.237151,0.063300206,0.895097314,0.108927067,53.39671736,0.327327
131,M,1.363832,0.120382905,0.879514613,0.105250255,17.77280705,0.855653468
132,F,1.424505,0.144649805,0.867788774,0.117929461,32.05911551,0.801783726
133,F,1.334717,0.333058154,0.910060343,0.089419489,60.07037682,0.5
134,F,1.365319,0.225087413,0.834959578,0.095684517,60.58117511,0.231455
135,M,1.377573,0.11344174,0.901737261,0.141077142,18.78514158,0.916125
136,M,1.344427,0.150213002,0.870952157,0.120592485,12.91873236,0.845154
137,M,1.245592,0.120447907,0.908460433,0.092964908,56.48146446,0.719622917
138,M,1.415039,0.119707467,0.884744251,0.127667729,20.40817661,0.582482
139,M,1.156827,0.227721914,0.874549904,0.083439172,62.48234685,0.597614
140,M,1.355077,0.20482039,0.897217206,0.131861167,28.09022724,0.755929
141,M,1.284413,0.116176471,0.922264848,0.123174601,42.57269224,0.400892
